Author	Compression	Variable	Default/all timestep(s)	Config Short	Version of compression-recommendations	Configuration	[opt] Throughput Compression [GB/s], measured relative to the original size	[opt] Throughput Decompression [GB/s], measured relative to the original size
@Lagnajee	19.29	100u	default	SPERR (mean-bound tuned) + LZMA	0.1.0a1	{'id': 'combinators.stack', 'codecs': ({'id': 'sperr.rs', 'mode': 'q', 'q': 0.04362030930661031, '_version': '0.2.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None})}	0.0186	0.0667
@Lagnajee	19.47	100v	default	SPERR (mean-bound tuned) + LZMA	0.1.0a1	{'id': 'combinators.stack', 'codecs': ({'id': 'sperr.rs', 'mode': 'q', 'q': 0.04362030930661031, '_version': '0.2.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None})}	0.0194	0.0654
@Lagnajee	76.19	10fg	default	SZ3 (mean-bound tuned) + LZMA	0.1.0a1	{'id': 'combinators.stack', 'codecs': ({'id': 'sz3.rs', 'predictor': 'interpolation-lorenzo', 'eb_mode': 'abs', 'eb_abs': 0.5, '_version': '0.2.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None})}	0.0463	0.2853
@Lagnajee	4862.95	10u	default	SPERR (mean-bound tuned) + LZMA	0.1.0a1	{'id': 'combinators.stack', 'codecs': ({'id': 'sperr.rs', 'mode': 'pwe', 'pwe': 33.94771214057639, '_version': '0.2.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None})}	0.0638	0.1446
@Lagnajee	4504.30	10v	default	SPERR (mean-bound tuned) + LZMA	0.1.0a1	{'id': 'combinators.stack', 'codecs': ({'id': 'sperr.rs', 'mode': 'pwe', 'pwe': 30.08105561516101, '_version': '0.2.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None})}	0.0631	0.1355
@Lagnajee	23.44	2d	default	Recommended Safeguards + SZ3 + LZMA	0.1.0a1	{'id': 'combinators.stack', 'codecs': ({'id': 'safeguards', 'codec': {'id': 'sz3.rs', 'predictor': 'interpolation-lorenzo', 'eb_mode': 'abs', 'eb_abs': 0.05, '_version': '0.2.0'}, 'safeguards': [{'kind': 'any', 'safeguards': [{'kind': 'all', 'safeguards': [{'kind': 'eb', 'type': 'abs', 'eb': 0.05, 'equal_nan': False}]}]}], 'fixed_constants': {}, 'lossless': {'for_codec': None, 'for_corrections': {'id': 'combinators.best', 'codecs': ({'id': 'combinators.stack', 'codecs': ({'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': ({'id': 'zstd', 'level': 3, 'checksum': False},)})}, {'id': 'combinators.stack', 'codecs': ({'id': 'delta.binary'}, {'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': ({'id': 'zstd', 'level': 3, 'checksum': False},)})})}}, 'compute': {'unstable_iterative': False, 'unstable_lossless_corrections': False}, '_version': '1.0.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None})}	0.0149	0.1189
@Lagnajee	24.96	2t	default	Recommended Safeguards + SZ3 + LZMA	0.1.0a1	{'id': 'combinators.stack', 'codecs': ({'id': 'safeguards', 'codec': {'id': 'sz3.rs', 'predictor': 'interpolation-lorenzo', 'eb_mode': 'abs', 'eb_abs': 0.05, '_version': '0.2.0'}, 'safeguards': [{'kind': 'any', 'safeguards': [{'kind': 'all', 'safeguards': [{'kind': 'eb', 'type': 'abs', 'eb': 0.05, 'equal_nan': False}]}]}], 'fixed_constants': {}, 'lossless': {'for_codec': None, 'for_corrections': {'id': 'combinators.best', 'codecs': ({'id': 'combinators.stack', 'codecs': ({'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': ({'id': 'zstd', 'level': 3, 'checksum': False},)})}, {'id': 'combinators.stack', 'codecs': ({'id': 'delta.binary'}, {'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': ({'id': 'zstd', 'level': 3, 'checksum': False},)})})}}, 'compute': {'unstable_iterative': False, 'unstable_lossless_corrections': False}, '_version': '1.0.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None})}	0.0155	0.1229
@Lagnajee	1773.25	alnid	default	SPERR (mean-bound tuned) + LZMA	0.1.0a1	{'id': 'combinators.stack', 'codecs': ({'id': 'sperr.rs', 'mode': 'q', 'q': 0.3489624744528825, '_version': '0.2.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None})}	0.0852	0.1432
@Lagnajee	2264.43	alnip	default	SPERR (mean-bound tuned) + LZMA	0.1.0a1	{'id': 'combinators.stack', 'codecs': ({'id': 'sperr.rs', 'mode': 'q', 'q': 0.3805462768008707, '_version': '0.2.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None})}	0.0818	0.1363
@Lagnajee	6350.09	aluvd	default	SPERR (mean-bound tuned) + LZMA	0.1.0a1	{'id': 'combinators.stack', 'codecs': ({'id': 'sperr.rs', 'mode': 'pwe', 'pwe': 0.32, '_version': '0.2.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None})}	0.0681	0.1612
