key,rmse,std,rmse_over_std,distinct_in,distinct_out
pressure/cc,0.00107097,0.24032658,0.0045,251,199
pressure/ciwc,4e-08,7.46e-06,0.0058,3999,571
pressure/clwc,1.8e-07,3.115e-05,0.0059,2089,269
pressure/crwc,8e-08,1.503e-05,0.0054,6345,601
pressure/cswc,2.3e-07,3.96e-05,0.0058,19183,499
pressure/d,7.2e-07,2.565e-05,0.0281,75341,209
pressure/o3,0.0,1.68e-06,0.0018,150260,4152960
pressure/pv,5e-08,1.52e-05,0.0032,60427,4152960
pressure/q,2.124e-05,0.00483151,0.0044,142703,4152960
pressure/r,0.20470785,36.86651304,0.0056,124942,4152960
pressure/t,0.28118477,32.54237563,0.0086,196586,4152960
pressure/u,0.1435242,13.22010459,0.0109,152926,4152960
pressure/v,0.14306489,6.81550865,0.021,169021,4152960
pressure/vo,1.16e-06,4.11e-05,0.0282,71620,222
pressure/w,0.00322908,0.18085512,0.0179,43076,4152960
pressure/z,2.04862377,79393.37297397,0.0,227209,4152960
single/100u,0.01204527,6.65491857,0.0018,41887,1038240
single/100v,0.01202146,6.16445779,0.002,41685,1038240
single/10fg,0.2517342,4.52221012,0.0557,28714,1036800
single/10u,1.50864286,5.31251944,0.284,34043,1038240
single/10v,1.43133022,4.82207093,0.2968,33021,1038240
single/2d,0.02800282,22.49599172,0.0012,52051,1036801
single/2t,0.02770193,23.46727426,0.0012,59788,1036801
single/alnid,0.01738824,0.09061079,0.1919,31040,971113
single/alnip,0.01716481,0.08234446,0.2085,29871,966910
single/aluvd,0.01189577,0.04467226,0.2663,20236,865792
single/aluvp,0.01171025,0.0434557,0.2695,19468,869352
single/anor,0.16876185,0.56762757,0.2973,358182,986307
single/asn,0.00257745,0.01523817,0.1691,8502,709188
single/avg_cpr,2.5e-07,6.865e-05,0.0036,11438,1085
single/avg_csfr,3e-08,5.13e-06,0.0056,4782,348
single/avg_esrwe,1.4e-07,4.8e-07,0.2952,8900,14
single/avg_ibld,0.13908544,4.60128303,0.0302,11498,1038240
single/avg_ie,3.7e-07,3.217e-05,0.0115,26580,1038240
single/avg_iegwss,0.00019063,0.07865865,0.0024,6727,1846
single/avg_iews,0.00133142,0.17864636,0.0075,10061,1038240
single/avg_igwd,0.00594507,1.07435717,0.0055,3475,442
single/avg_ilspf,0.00363258,0.39665273,0.0092,32767,70
single/avg_ingwss,0.00079512,0.07533819,0.0106,4018,372
single/avg_inss,0.00121734,0.17205648,0.0071,10213,1038240
single/avg_ishf,0.12131931,60.32743345,0.002,30389,1038240
single/avg_lsprate,2.3e-07,9.075e-05,0.0026,4858,1837
single/avg_lssfr,9e-08,2.102e-05,0.0041,12965,721
single/avg_pevr,3e-07,4.478e-05,0.0066,35798,190
