variable,best_cr,codec,baseline_cr,gain,requirements
cc,48.886,Safeguarded(Zero),48.886,1.0,
ciwc,65.385,PWRatio(FSO log2 i2 r=1.01)+LZMA,59.657,1.1,
clwc,46.902,PWRatio(FSO log2 i2 r=1.01)+LZMA,46.14,1.02,
crwc,58.549,Safeguarded(Zero),58.549,1.0,
cswc,62.739,PWRatio(FSO log2 i2 r=1.01)+LZMA,56.034,1.12,
d,13.506,PWRatio(FSO log2 i2 r=1.05)+LZMA,11.133,1.21,
o3,58.002,PWRatio(FSO log2 i2 r=1.01)+LZMA,43.45,1.33,
pv,47.139,Sperr pwe 1e-07,46.184,1.02,
q,33.385,PWRatio(FSO log2 i2 r=1.01)+LZMA,25.933,1.29,
r,28.417,PWRatio(FSO log2 i2 r=1.01)+LZMA,21.46,1.32,
t,331.786,PWRatio(FSO log2 i2 r=1.01)+LZMA,222.131,1.49,
u,118.513,Sperr pwe 0.5,50.049,2.37,
v,121.272,Sperr pwe 0.5,46.149,2.63,
vo,16.132,PWRatio(FSO log2 i2 r=1.05)+LZMA,13.291,1.21,
w,34.555,Sperr pwe 0.01,20.573,1.68,
z,126.688,Sperr pwe 10.0,31.134,4.07,
