variable,best_cr,codec,baseline_cr,gain,requirements
100u,12.564,absq meanabs 0.01 eb=1.4v,8.404,1.5,MeanAbsoluteErrorBound(0.01)
100v,14.281,absq meanabs 0.01 eb=2v,8.167,1.75,MeanAbsoluteErrorBound(0.01)
10fg,50.656,absq meanabs 0.5 eb=1.0v,45.545,1.11,(MeanAbsoluteErrorBound(0.5) and MaxPointwiseAbsoluteErrorBound(0.5))
10u,331.071,absq meanrel 0.5 eb=2v*mean|x|,42.526,7.79,(MeanAbsoluteErrorBound(0.5) or MeanRelativeErrorBound(0.5))
10v,308.92,absq meanrel 0.5 eb=2v*mean|x|,41.287,7.48,(MeanAbsoluteErrorBound(0.5) or MeanRelativeErrorBound(0.5))
2d,20.218,absq pointwise 0.05,16.497,1.23,MaxPointwiseAbsoluteErrorBound(0.05)
2t,21.534,absq pointwise 0.05,17.471,1.23,MaxPointwiseAbsoluteErrorBound(0.05)
alnid,184.101,absq meanabs 0.01 eb=2.8v,86.423,2.13,MeanAbsoluteErrorBound(0.01)
alnip,192.802,absq meanabs 0.01 eb=2.8v,90.739,2.12,MeanAbsoluteErrorBound(0.01)
aluvd,350.623,absq meanabs 0.01 eb=2.8v,142.826,2.45,MeanAbsoluteErrorBound(0.01)
aluvp,346.008,absq meanabs 0.01 eb=2.8v,143.22,2.42,MeanAbsoluteErrorBound(0.01)
anor,103.027,absq meanabs 0.1 eb=4v,44.269,2.33,(MeanAbsoluteErrorBound(0.1) or MeanRelativeErrorBound(0.01))
asn,1001.075,absq meanabs 0.001 eb=8v,578.568,1.73,(MeanAbsoluteErrorBound(0.001) or MeanRelativeErrorBound(0.001))
avg_cpr,29.095,absq meanrel 0.01 eb=4v*mean|x|,18.149,1.6,MeanRelativeErrorBound(0.01); DataLimits(minimum=0.0)
avg_csfr,289.254,relq meanrel 0.01 ratio=1+1.9v,226.628,1.28,MeanRelativeErrorBound(0.01); DataLimits(minimum=0.0)
avg_esrwe,33091.315,absq meanabs 1e-07 eb=256.0v,100.453,329.42,(MeanAbsoluteErrorBound(1e-07) or MeanRelativeErrorBound(0.01))
avg_ibld,37.706,absq meanabs 0.1 eb=1.4v,22.564,1.67,MeanAbsoluteErrorBound(0.1)
avg_ie,23.321,absq meanrel 0.01 eb=2v*mean|x|,11.78,1.98,MeanRelativeErrorBound(0.01)
avg_iegwss,63.623,absq meanrel 0.01 eb=8v*mean|x|,45.674,1.39,MeanRelativeErrorBound(0.01)
avg_iews,20.794,absq meanrel 0.01 eb=2v*mean|x|,10.663,1.95,MeanRelativeErrorBound(0.01)
avg_igwd,57.245,Safeguarded(Zero),57.245,1.0,MeanRelativeErrorBound(0.01)
