# machine: x86_64, 24 logical CPUs, python 3.14.7, 4 concurrent workers, median of 3 runs after warm-up
key,raw_bytes,compressed_bytes,encode_s,decode_s,compression_gb_per_s,decompression_gb_per_s
pressure/cc,33223680,679460,31.9476,0.2994,0.00104,0.11098
pressure/ciwc,33223680,507976,2.589,0.2747,0.01283,0.12095
pressure/clwc,33223680,708074,4.4583,0.2752,0.00745,0.12072
pressure/crwc,33223680,566920,22.964,0.4361,0.00145,0.07618
pressure/cswc,33223680,529558,3.673,0.2878,0.00905,0.11544
pressure/d,33223680,2459459,21.032,0.4765,0.00158,0.06972
pressure/o3,33223680,383728,1.1667,0.6305,0.02848,0.05269
pressure/pv,33223680,629796,18.7981,0.6176,0.00177,0.05379
pressure/q,33223680,860380,1.4105,0.7892,0.02355,0.0421
pressure/r,33223680,923636,1.3459,0.7242,0.02469,0.04588
pressure/t,33223680,42176,0.7024,0.4597,0.0473,0.07227
pressure/u,33223680,251896,8.8643,0.5255,0.00375,0.06323
pressure/v,33223680,244476,8.7209,0.5419,0.00381,0.06131
pressure/vo,33223680,2058761,11.7241,0.1745,0.00283,0.19042
pressure/w,33223680,955524,1.1134,0.409,0.02984,0.08123
pressure/z,33223680,251348,0.7299,0.3212,0.04552,0.10344
single/100u,8305920,430600,0.4457,0.1245,0.01864,0.06672
single/100v,8305920,426632,0.4288,0.1269,0.01937,0.06545
single/10fg,8305920,109016,0.1792,0.0291,0.04634,0.28531
single/10u,8305920,1708,0.1303,0.0574,0.06376,0.14459
single/10v,8305920,1844,0.1317,0.0613,0.06306,0.1355
single/2d,8305920,354412,0.5566,0.0699,0.01492,0.11886
single/2t,8305920,332768,0.5356,0.0676,0.01551,0.12294
single/alnid,8305920,4684,0.0975,0.058,0.08519,0.14317
single/alnip,8305920,3668,0.1016,0.0609,0.08176,0.13633
single/aluvd,8305920,1308,0.122,0.0515,0.06807,0.16116
single/aluvp,8305920,1272,0.132,0.0534,0.06293,0.15564
single/anor,8305920,48736,0.1825,0.0685,0.04551,0.12129
single/asn,8305920,4952,0.0989,0.0458,0.084,0.18124
single/avg_cpr,8305920,265710,0.7231,0.0159,0.01149,0.52151
single/avg_csfr,8305920,20834,0.1902,0.0121,0.04368,0.68665
single/avg_esrwe,8305920,2589,0.1103,0.0077,0.07531,1.08366
single/avg_ibld,8305920,68976,0.1216,0.0587,0.06832,0.14138
single/avg_ie,8305920,229528,0.1678,0.0908,0.04949,0.09151
single/avg_iegwss,8305920,128079,0.6464,0.0155,0.01285,0.5342
single/avg_iews,8305920,251000,0.1618,0.0855,0.05134,0.09716
single/avg_igwd,8305920,145095,0.8673,0.0381,0.00958,0.218
single/avg_ilspf,8305920,308565,0.56,0.0199,0.01483,0.41722
single/avg_ingwss,8305920,152777,0.8219,0.0258,0.01011,0.32183
single/avg_inss,8305920,254896,0.2303,0.0929,0.03606,0.08944
single/avg_ishf,8305920,495460,0.2495,0.1156,0.03329,0.07188
single/avg_lsprate,8305920,254916,0.9278,0.0171,0.00895,0.48481
single/avg_lssfr,8305920,54160,0.3459,0.0123,0.02401,0.67598
single/avg_pevr,8305920,116579,0.5127,0.012,0.0162,0.69424
single/avg_rorwe,8305920,105521,0.5166,0.0119,0.01608,0.69905
single/avg_sdirswrf,8305920,328770,0.4752,0.0172,0.01748,0.48406
single/avg_sdirswrfcs,8305920,134183,0.5452,0.0113,0.01523,0.73431
single/avg_sdlwrf,8305920,405756,0.2312,0.1077,0.03593,0.07715
single/avg_sdlwrfcs,8305920,162740,0.1434,0.0773,0.05792,0.1075
single/avg_sdswrf,8305920,345803,0.439,0.0162,0.01892,0.51125
single/avg_sdswrfcs,8305920,132505,0.5651,0.0114,0.0147,0.72564
single/avg_sduvrf,8305920,127585,0.3292,0.0095,0.02523,0.87203
single/avg_slhtf,8305920,557024,0.2636,0.115,0.03151,0.07225
single/avg_smr,8305920,2374,0.0927,0.0079,0.08963,1.05727
single/avg_snlwrf,8305920,462308,0.2396,0.1097,0.03467,0.0757
single/avg_snlwrfcs,8305920,195104,0.1513,0.0768,0.05488,0.10819
single/avg_snswrf,8305920,242884,0.1529,0.0689,0.05433,0.12049
single/avg_snswrfcs,8305920,186661,0.5424,0.0158,0.01531,0.52475
single/avg_ssurfror,8305920,10345,0.2218,0.0077,0.03745,1.07229
single/avg_surfror,8305920,7045,0.1671,0.0074,0.04969,1.12894
single/avg_tdswrf,8305920,57455,0.543,0.0114,0.0153,0.7301
single/avg_tnlwrf,8305920,341524,0.2189,0.0969,0.03794,0.08567
single/avg_tnlwrfcs,8305920,101488,0.1742,0.0705,0.04768,0.11784
single/avg_tnswrf,8305920,352953,0.4526,0.0185,0.01835,0.44939
single/avg_tnswrfcs,8305920,165462,0.5286,0.012,0.01571,0.69168
single/avg_tprate,8305920,334911,0.8242,0.0179,0.01008,0.46485
single/avg_tsrwe,8305920,65538,0.3225,0.0097,0.02576,0.85283
single/avg_vimdf,8305920,625351,0.6611,0.0232,0.01256,0.35725
single/bfi,2079360,34987,0.2432,0.0032,0.00855,0.64887
single/bld,8305920,132148,1.1067,0.0114,0.00751,0.72695
single/blh,8305920,335934,0.8939,0.016,0.00929,0.51988
single/cape,8305920,256162,0.8268,0.016,0.01005,0.51955
single/cbh,8305920,769201,0.764,0.0342,0.01087,0.24298
single/cdir,8305920,56818,0.6865,0.0133,0.0121,0.62361
single/cdww,2079360,60873,0.2458,0.0056,0.00846,0.37053
